palavra,polaridade,tipo,sentimento
54,-1,adjetivo,negativo
123,1,adjetivo,positivo
11941,-1,adjetivo,negativo
11.941,-1,adjetivo,negativo
aguardando,-1,adjetivo,negativo
analise,-1,adjetivo,negativo
anulacao,-1,adjetivo,negativo
art,-1,adjetivo,negativo
ativa,1,adjetivo,positivo
atividades,1,adjetivo,positivo
ato,-1,adjetivo,negativo
baixa,-1,adjetivo,negativo
cadastral,1,adjetivo,positivo
cancelado,-1,adjetivo,negativo
cisao,1,adjetivo,positivo
comercial,-1,adjetivo,negativo
comercio,-1,adjetivo,negativo
complementar,1,adjetivo,positivo
confirmado,-1,adjetivo,negativo
contumaz,-1,adjetivo,negativo
declaracoes,-1,adjetivo,negativo
deferida,-1,adjetivo,negativo
desconhecida,-1,adjetivo,negativo
determinacao,-1,adjetivo,negativo
diferenciado,1,adjetivo,positivo
elevacao,1,adjetivo,positivo
encerramento,-1,adjetivo,negativo
epp,1,adjetivo,positivo
exterior,-1,adjetivo,negativo
extincao,-1,adjetivo,negativo
falencia,-1,adjetivo,negativo
falta,-1,adjetivo,negativo
fato,-1,adjetivo,negativo
filial,-1,adjetivo,negativo
fraudulenta,-1,adjetivo,negativo
fusao,1,adjetivo,positivo
inaptidao,-1,adjetivo,negativo
inconsist̻ncia,-1,adjetivo,negativo
incorporacao,1,adjetivo,positivo
indeferida,-1,adjetivo,negativo
indevida,-1,adjetivo,negativo
indicio,-1,adjetivo,negativo
inexistente,-1,adjetivo,negativo
iniciada,-1,adjetivo,negativo
inscricao,-1,adjetivo,negativo
interpos,-1,adjetivo,negativo
interrupcao,-1,adjetivo,negativo
irregular,-1,adjetivo,negativo
judicial,-1,adjetivo,negativo
junta,-1,adjetivo,negativo
lei,1,adjetivo,positivo
liquidacao,-1,adjetivo,negativo
localizada,-1,adjetivo,negativo
matriz,1,adjetivo,positivo
mei,-1,adjetivo,negativo
multiciplidade,-1,adjetivo,negativo
omissa,-1,adjetivo,negativo
omissao,-1,adjetivo,negativo
operacao,-1,adjetivo,negativo
pluralidade,-1,adjetivo,negativo
pratica,-1,adjetivo,negativo
produtor,-1,adjetivo,negativo
registrada,-1,adjetivo,negativo
registro,-1,adjetivo,negativo
rural,-1,adjetivo,positivo
sefaz,-1,adjetivo,negativo
sefin,-1,adjetivo,negativo
socios,-1,adjetivo,negativo
temporaria,1,adjetivo,positivo
total,1,adjetivo,positivo
tratamento,-1,adjetivo,negativo
unificacao,1,adjetivo,positivo
vicios,-1,adjetivo,negativo
voluntaria,-1,adjetivo,negativo
